-----Epoch 0 开始训练-----

Total step : 12400      Batch loss: 3.7072      Epoch average loss: 4.1557
Total step : 12500      Batch loss: 3.2744      Epoch average loss: 4.1508
Total step : 12600      Batch loss: 3.3835      Epoch average loss: 4.1460
Total step : 12700      Batch loss: 3.6962      Epoch average loss: 4.1413
Total step : 12800      Batch loss: 4.3154      Epoch average loss: 4.1371
Total step : 12900      Batch loss: 3.5495      Epoch average loss: 4.1321
Total step : 13000      Batch loss: 3.3203      Epoch average loss: 4.1272
Total step : 13100      Batch loss: 3.6135      Epoch average loss: 4.1226
Total step : 13200      Batch loss: 3.2419      Epoch average loss: 4.1184
Total step : 13300      Batch loss: 3.2752      Epoch average loss: 4.1142
Total step : 13400      Batch loss: 3.2663      Epoch average loss: 4.1098
Total step : 13500      Batch loss: 3.5017      Epoch average loss: 4.1051
Total step : 13600      Batch loss: 3.9513      Epoch average loss: 4.1010
Total step : 13700      Batch loss: 2.6149      Epoch average loss: 4.0967
Total step : 13800      Batch loss: 3.3975      Epoch average loss: 4.0923
Total step : 13900      Batch loss: 4.3878      Epoch average loss: 4.0878
Total step : 14000      Batch loss: 3.9507      Epoch average loss: 4.0835
Total step : 14100      Batch loss: 4.0098      Epoch average loss: 4.0799
Total step : 14200      Batch loss: 3.9984      Epoch average loss: 4.0760
Total step : 14300      Batch loss: 3.1389      Epoch average loss: 4.0723
Total step : 14400      Batch loss: 2.6106      Epoch average loss: 4.0683
Total step : 14500      Batch loss: 3.8402      Epoch average loss: 4.0645
Total step : 14600      Batch loss: 3.0927      Epoch average loss: 4.0604
Total step : 14700      Batch loss: 3.3425      Epoch average loss: 4.0561
Total step : 14800      Batch loss: 3.0577      Epoch average loss: 4.0523
Total step : 14900      Batch loss: 3.3877      Epoch average loss: 4.0487
Total step : 15000      Batch loss: 4.2526      Epoch average loss: 4.0448
Total step : 15100      Batch loss: 3.3312      Epoch average loss: 4.0409
Total step : 15200      Batch loss: 3.9230      Epoch average loss: 4.0370
Total step : 15300      Batch loss: 3.5468      Epoch average loss: 4.0335
Total step : 15400      Batch loss: 3.0368      Epoch average loss: 4.0300
Total step : 15500      Batch loss: 3.2609      Epoch average loss: 4.0257
Total step : 15600      Batch loss: 3.4044      Epoch average loss: 4.0216
Total step : 15700      Batch loss: 3.7451      Epoch average loss: 4.0178
Total step : 15800      Batch loss: 4.2433      Epoch average loss: 4.0146
Total step : 15900      Batch loss: 2.9282      Epoch average loss: 4.0109
Total step : 16000      Batch loss: 3.2316      Epoch average loss: 4.0072
Total step : 16100      Batch loss: 3.2111      Epoch average loss: 4.0039
Total step : 16200      Batch loss: 2.9838      Epoch average loss: 4.0007
Total step : 16300      Batch loss: 3.7159      Epoch average loss: 3.9977
Total step : 16400      Batch loss: 3.2661      Epoch average loss: 3.9945
Total step : 16500      Batch loss: 3.5343      Epoch average loss: 3.9907
Total step : 16600      Batch loss: 3.2452      Epoch average loss: 3.9874
Total step : 16700      Batch loss: 3.2791      Epoch average loss: 3.9841
Total step : 16800      Batch loss: 3.7763      Epoch average loss: 3.9808
Total step : 16900      Batch loss: 3.5646      Epoch average loss: 3.9776
Total step : 17000      Batch loss: 3.2684      Epoch average loss: 3.9740
Total step : 17100      Batch loss: 3.1642      Epoch average loss: 3.9707
Total step : 17200      Batch loss: 4.1880      Epoch average loss: 3.9677
Total step : 17300      Batch loss: 3.7985      Epoch average loss: 3.9643
Total step : 17400      Batch loss: 3.6572      Epoch average loss: 3.9609
Total step : 17500      Batch loss: 2.9801      Epoch average loss: 3.9575
Total step : 17600      Batch loss: 3.1198      Epoch average loss: 3.9547
Total step : 17700      Batch loss: 4.2645      Epoch average loss: 3.9517
Total step : 17800      Batch loss: 3.6711      Epoch average loss: 3.9481
Total step : 17900      Batch loss: 3.2342      Epoch average loss: 3.9455
Total step : 18000      Batch loss: 3.0911      Epoch average loss: 3.9425
Total step : 18100      Batch loss: 3.3022      Epoch average loss: 3.9388
Total step : 18200      Batch loss: 3.9486      Epoch average loss: 3.9360
Total step : 18300      Batch loss: 3.6789      Epoch average loss: 3.9329
Total step : 18400      Batch loss: 3.1931      Epoch average loss: 3.9298
Total step : 18500      Batch loss: 3.4810      Epoch average loss: 3.9266
Total step : 18600      Batch loss: 3.3247      Epoch average loss: 3.9237
Total step : 18700      Batch loss: 3.1321      Epoch average loss: 3.9209
Total step : 18800      Batch loss: 3.0430      Epoch average loss: 3.9182
Total step : 18900      Batch loss: 3.0473      Epoch average loss: 3.9156
Total step : 19000      Batch loss: 4.3259      Epoch average loss: 3.9128
Total step : 19100      Batch loss: 2.7677      Epoch average loss: 3.9096
Total step : 19200      Batch loss: 3.0491      Epoch average loss: 3.9068
Total step : 19300      Batch loss: 3.3548      Epoch average loss: 3.9043
Total step : 19400      Batch loss: 3.2902      Epoch average loss: 3.9012
Total step : 19500      Batch loss: 3.3564      Epoch average loss: 3.8981
Total step : 19600      Batch loss: 3.6466      Epoch average loss: 3.8956
Total step : 19700      Batch loss: 3.0130      Epoch average loss: 3.8924
Total step : 19800      Batch loss: 3.8137      Epoch average loss: 3.8900
Total step : 19900      Batch loss: 2.9735      Epoch average loss: 3.8874
Total step : 20000      Batch loss: 3.4057      Epoch average loss: 3.8848
Total step : 20100      Batch loss: 3.3788      Epoch average loss: 3.8822
Total step : 20200      Batch loss: 3.4906      Epoch average loss: 3.8795
Total step : 20300      Batch loss: 4.4855      Epoch average loss: 3.8766
Total step : 20400      Batch loss: 3.2717      Epoch average loss: 3.8738
Total step : 20500      Batch loss: 3.4510      Epoch average loss: 3.8709
Total step : 20600      Batch loss: 3.4721      Epoch average loss: 3.8681
Total step : 20700      Batch loss: 2.9203      Epoch average loss: 3.8657
Total step : 20800      Batch loss: 3.9041      Epoch average loss: 3.8631
Total step : 20900      Batch loss: 3.1907      Epoch average loss: 3.8607
Total step : 21000      Batch loss: 3.9095      Epoch average loss: 3.8581
Total step : 21100      Batch loss: 3.1898      Epoch average loss: 3.8557
Total step : 21200      Batch loss: 3.5217      Epoch average loss: 3.8529
Total step : 21300      Batch loss: 3.1465      Epoch average loss: 3.8500
Total step : 21400      Batch loss: 2.7806      Epoch average loss: 3.8475
Total step : 21500      Batch loss: 4.2605      Epoch average loss: 3.8455
Total step : 21600      Batch loss: 3.2330      Epoch average loss: 3.8429
Total step : 21700      Batch loss: 3.1208      Epoch average loss: 3.8402
Total step : 21800      Batch loss: 3.3725      Epoch average loss: 3.8377
Total step : 21900      Batch loss: 2.3358      Epoch average loss: 3.8352
Total step : 22000      Batch loss: 3.8306      Epoch average loss: 3.8330
Total step : 22100      Batch loss: 3.2514      Epoch average loss: 3.8306
Total step : 22200      Batch loss: 3.2143      Epoch average loss: 3.8279
Total step : 22300      Batch loss: 3.2575      Epoch average loss: 3.8252
Total step : 22400      Batch loss: 2.9836      Epoch average loss: 3.8224
Total step : 22500      Batch loss: 3.5065      Epoch average loss: 3.8203
Total step : 22600      Batch loss: 3.0132      Epoch average loss: 3.8179
Total step : 22700      Batch loss: 2.8528      Epoch average loss: 3.8156
Total step : 22800      Batch loss: 3.2735      Epoch average loss: 3.8132
Total step : 22900      Batch loss: 3.0757      Epoch average loss: 3.8108
